dni|nombre|tienda|vertical|puesto|departamento|fecha_ingreso|fecha_cese|tipo_salida|longitud_doc|departamento_original|gerencia_homologada
09923450|Jorge Elena Chávez Herrera|Plaza Lima Norte|Tecnologia|Asesor De Ventas|Ventas Tecnología|2024-07-13|||8|Ventas Tecnología|Gerencia Comercial
67591435|Karen Jesús Flores Navarro|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-05-03|||8|Utiles Escolares|Gerencia Comercial
31668532|Tatiana Eduardo Medina Castillo|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-11-22|||8|Utiles Escolares|Gerencia Comercial
70266708|Raúl Eduardo Ponce López|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-08-01|||8|Utiles Escolares|Gerencia Comercial
40364926|Miguel Alejandro Carranza Castillo|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-10-22|||8|Utiles Escolares|Gerencia Comercial
17878019|Miguel Eduardo Vargas Soto|Plaza Lima Norte|Hogar|Visual Merchandising|Visual Merchandising|2024-09-28|||8|Visual Merchandising|Gerencia Comercial
01149999|Melissa Isabel Cárdenas Ponce|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-06-25|||8|Utiles Escolares|Gerencia Comercial
04352420|Álvaro Elena Torres López|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2026-01-30|||8|Utiles Escolares|Gerencia Comercial
33804923|Jorge Antonio Valdivia Ramírez|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-05-15|||8|Utiles Escolares|Gerencia Comercial
21787165|Melissa Gabriela Herrera García|Plaza Lima Norte|Hogar|Cajero(A)|Cajas|2024-09-25|||8|Cajas|Gerencia Operaciones
04258663|Andrés Alejandro Soto Vargas|Plaza Lima Norte|Utiles Escolares|Vendedor De Piso|Utiles Escolares|2025-08-19|||8|Utiles Escolares|Gerencia Comercial
47569942|Daniela Elena Chávez Mendoza|Plaza Lima Norte|Hogar|Auxiliar De Logistica|Logística|2024-04-15|||8|Logística|Gerencia Operaciones
98960009|Daniela Mejía Chávez|Plaza Lima Norte|Utiles Escolares|Auxiliar De Logistica|Logística|2024-07-02|||8|Logística|Gerencia Operaciones
09954548|Sofía Fernanda Soto Espinoza|Plaza Lima Norte|Utiles Escolares|Cajero(A)|Cajas|2025-04-26|||8|Cajas|Gerencia Operaciones
37493469|Piero Fernanda Valdivia Navarro|Plaza Lima Norte|Hogar|Cajero(A)|Cajas|2024-12-02|||8|Cajas|Gerencia Operaciones
24066966|Raúl Alejandro Paredes Castillo|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2024-09-24|||8|Utiles Escolares|Gerencia Comercial
51800055|Cristian Isabel Flores López|Plaza Lima Norte|Moda|Asesor De Ventas|Ventas Moda|2024-04-28|||8|Ventas Moda|Gerencia Comercial
09491725|Ximena Elena Rojas Ponce|Plaza Lima Norte|Moda|Vendedor De Piso|Ventas Moda|2025-03-17|||8|Ventas Moda|Gerencia Comercial
03677729|Andrés Eduardo Ramírez Ponce|Plaza Lima Norte|Utiles Escolares|Cajero(A)|Cajas|2025-02-16|||8|Cajas|Gerencia Operaciones
00885405|Alejandra Elena Castillo Valdivia|Plaza Lima Norte|Utiles Escolares|Asistente Servicio Cliente|Servicio al Cliente|2024-01-01|||8|Servicio al Cliente|Gerencia Experiencia Cliente
63609974|Sebastián Rodríguez Soto|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-06-07|||8|Utiles Escolares|Gerencia Comercial
31623529|Alonso Eduardo Mendoza García|Plaza Lima Norte|Moda|Vendedor De Piso|Ventas Moda|2026-02-08|||8|Ventas Moda|Gerencia Comercial
84625678|María Patricia Quispe Salazar|Plaza Lima Norte|Utiles Escolares|Vendedor De Piso|Utiles Escolares|2025-02-28|||8|Utiles Escolares|Gerencia Comercial
93503697|Jorge Nicole Salazar Cárdenas|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2024-06-29|||8|Utiles Escolares|Gerencia Comercial
96639316|Alejandra Nicole Carranza Aguilar|Plaza Lima Norte|Tecnologia|Cajero(A)|Cajas|2025-09-19|||8|Cajas|Gerencia Operaciones
37320099|Karen Patricia Valdivia Salazar|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-10-14|||8|Utiles Escolares|Gerencia Comercial
43010691|Diego Jesús Mendoza Salazar|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2024-12-09|||8|Utiles Escolares|Gerencia Comercial
44510148|Daniela Alejandro Torres Espinoza|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-02-21|||8|Utiles Escolares|Gerencia Comercial
00891358|Marco Gabriela Mejía Aguilar|Plaza Lima Norte|Moda|Asesor De Ventas|Ventas Moda|2025-05-03|||8|Ventas Moda|Gerencia Comercial
36732757|Carlos Gabriela Rojas Ponce|Plaza Lima Norte|Hogar|Asistente Servicio Cliente|Servicio al Cliente|2024-08-12|||8|Servicio al Cliente|Gerencia Experiencia Cliente
00788860|Lucía Elena Medina Ponce|Plaza Lima Norte|Tecnologia|Asesor De Ventas|Ventas Tecnología|2025-09-29|||8|Ventas Tecnología|Gerencia Comercial
06849089|Fiorella Eduardo Carranza Rojas|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2024-07-05|||8|Utiles Escolares|Gerencia Comercial
00223515|Diana Alejandro Vargas Salazar|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2024-03-24|||8|Utiles Escolares|Gerencia Comercial
02835359|Matías Jesús Gómez Ponce|Plaza Lima Norte|Hogar|Asesor De Ventas|Ventas Hogar|2024-07-23|||8|Ventas Hogar|Gerencia Comercial
09612272|Génesis Antonio Cruz Espinoza|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2026-02-24|||8|Utiles Escolares|Gerencia Comercial
77382128|María Gabriela López Torres|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2024-11-15|||8|Utiles Escolares|Gerencia Comercial
40577742|Génesis Antonio Campos Medina|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2026-03-02|||8|Utiles Escolares|Gerencia Comercial
09355216|Ximena Alejandro Mejía Ramírez|Plaza Lima Norte|Tecnologia|Vendedor De Piso|Ventas Tecnología|2025-01-14|||8|Ventas Tecnología|Gerencia Comercial
08550095|Karen Vega Castillo|Plaza Lima Norte|Utiles Escolares|Cajero(A)|Cajas|2024-06-05|||8|Cajas|Gerencia Operaciones
36123439|Matías Antonio Vega Aguilar|Plaza Lima Norte|Utiles Escolares|Asistente De Caja|Cajas|2025-08-29|||8|Cajas|Gerencia Operaciones
00250390|Fiorella Jesús Gómez Torres|Plaza Lima Norte|Moda|Vendedor De Piso|Ventas Moda|2025-01-23|||8|Ventas Moda|Gerencia Comercial
37180140|Karen Eduardo Rodríguez Salazar|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-12-19|||8|Utiles Escolares|Gerencia Comercial
95641870|Carlos Antonio Soto Salazar|Plaza Lima Norte|Tecnologia|Vendedor De Piso|Ventas Tecnología|2025-10-23|||8|Ventas Tecnología|Gerencia Comercial
74385882|Alejandra Nicole Rojas Vargas|Plaza Lima Norte|Moda|Asesor De Ventas|Ventas Moda|2025-04-29|||8|Ventas Moda|Gerencia Comercial
06909144|Bruno Nicole Cruz López|Plaza Lima Norte|Tecnologia|Asesor De Ventas|Ventas Tecnología|2024-05-03|||8|Ventas Tecnología|Gerencia Comercial
70515568|Kevin Eduardo Soto Salazar|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-08-26|||8|Utiles Escolares|Gerencia Comercial
00917443|Jorge Nicole Soto López|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2024-05-09|||8|Utiles Escolares|Gerencia Comercial
63101391|Ximena Jesús Flores Vega|Plaza Lima Norte|Moda|Asistente Servicio Cliente|Servicio al Cliente|2024-10-18|||8|Servicio al Cliente|Gerencia Experiencia Cliente
77546468|Jorge Jesús Mendoza Campos|Plaza Lima Norte|Utiles Escolares|Asistente Servicio Cliente|Servicio al Cliente|2024-03-16|||8|Servicio al Cliente|Gerencia Experiencia Cliente
55957931|Milagros Eduardo Cruz Navarro|Plaza Lima Norte|Hogar|Asesor De Ventas|Ventas Hogar|2025-07-25|||8|Ventas Hogar|Gerencia Comercial
76420155|Milagros Antonio Cruz Torres|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2024-11-08|||8|Utiles Escolares|Gerencia Comercial
23428859|Sebastián Alejandro Ramírez Carranza|Plaza Lima Norte|Hogar|Asesor De Ventas|Ventas Hogar|2024-09-02|||8|Ventas Hogar|Gerencia Comercial
04986005|Sofía Antonio Ponce Salazar|Plaza Lima Norte|Tecnologia|Asesor De Ventas|Ventas Tecnología|2024-10-22|||8|Ventas Tecnología|Gerencia Comercial
30273413|Piero Jesús Rodríguez Flores|Plaza Lima Norte|Utiles Escolares|Auxiliar De Logistica|Logística|2025-07-11|||8|Logística|Gerencia Operaciones
09042178|Marco Gabriela Vega Navarro|Plaza Lima Norte|Utiles Escolares|Vendedor De Piso|Utiles Escolares|2024-10-22|||8|Utiles Escolares|Gerencia Comercial
98687474|Raúl Alejandro Rodríguez Salazar|Plaza Lima Norte|Moda|Asesor De Ventas|Ventas Moda|2025-03-18|||8|Ventas Moda|Gerencia Comercial
23613701|Paola Isabel Morales Medina|Plaza Lima Norte|Tecnologia|Asistente Servicio Cliente|Servicio al Cliente|2024-02-11|||8|Servicio al Cliente|Gerencia Experiencia Cliente
44835895|Kevin Jesús Rojas Ramírez|Plaza Lima Norte|Moda|Asesor De Ventas|Ventas Moda|2025-02-22|||8|Ventas Moda|Gerencia Comercial
00145700|Raúl Fernanda Paredes Cruz|Plaza Lima Norte|Tecnologia|Asesor De Ventas|Ventas Tecnología|2024-02-07|||8|Ventas Tecnología|Gerencia Comercial
07375149|Camila Elena Cruz Gómez|Plaza Lima Norte|Moda|Asesor De Ventas|Ventas Moda|2025-02-27|||8|Ventas Moda|Gerencia Comercial
38758617|Andrea Antonio García Valdivia|Plaza Lima Norte|Hogar|Asesor De Ventas|Ventas Hogar|2024-05-14|||8|Ventas Hogar|Gerencia Comercial
74221929|Alonso Antonio Carranza Paredes|Plaza Lima Norte|Hogar|Asesor De Ventas|Ventas Hogar|2024-01-15|||8|Ventas Hogar|Gerencia Comercial
36798468|Carla Patricia Salazar Carranza|Plaza Lima Norte|Hogar|Asesor De Ventas|Ventas Hogar|2025-12-23|||8|Ventas Hogar|Gerencia Comercial
18421839|Piero Gabriela Rojas Cárdenas|Plaza Lima Norte|Hogar|Asesor De Ventas|Ventas Hogar|2026-02-03|||8|Ventas Hogar|Gerencia Comercial
77935998|Andrea Jesús Carranza Herrera|Plaza Lima Norte|Tecnologia|Asesor De Ventas|Ventas Tecnología|2025-08-24|||8|Ventas Tecnología|Gerencia Comercial
43288224|Matías Elena Quispe Salazar|Plaza Lima Norte|Moda|Vendedor De Piso|Ventas Moda|2025-04-11|||8|Ventas Moda|Gerencia Comercial
51918612|Renzo Patricia Flores Mendoza|Plaza Lima Norte|Utiles Escolares|Cajero(A)|Cajas|2025-01-25|||8|Cajas|Gerencia Operaciones
70691959|Luis Jesús Ramírez Mejía|Plaza Lima Norte|Moda|Asesor De Ventas|Ventas Moda|2024-04-12|||8|Ventas Moda|Gerencia Comercial
83752460|Diego Fernanda Mejía Ponce|Plaza Lima Norte|Hogar|Asesor De Ventas|Ventas Hogar|2024-12-12|||8|Ventas Hogar|Gerencia Comercial
31610328|Álvaro Eduardo Chávez Rodríguez|Plaza Lima Norte|Moda|Cajero(A)|Cajas|2024-03-11|||8|Cajas|Gerencia Operaciones
03247259|Carlos Alejandro Rojas Campos|Plaza Lima Norte|Moda|Asesor De Ventas|Ventas Moda|2024-06-19|||8|Ventas Moda|Gerencia Comercial
71391936|Adrián Jesús Morales Rodríguez|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2024-09-07|||8|Utiles Escolares|Gerencia Comercial
09308935|Raúl Patricia Vega Ponce|Plaza Lima Norte|Hogar|Vendedor De Piso|Ventas Hogar|2025-08-20|||8|Ventas Hogar|Gerencia Comercial
10013576|Valeria Elena Soto Valdivia|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2024-06-10|||8|Utiles Escolares|Gerencia Comercial
04414759|Tatiana Fernanda Medina Soto|Plaza Lima Norte|Hogar|Asistente Servicio Cliente|Servicio al Cliente|2025-05-09|||8|Servicio al Cliente|Gerencia Experiencia Cliente
92146449|Jorge Elena Chávez Gómez|Plaza Lima Norte|Tecnologia|Visual Merchandising|Visual Merchandising|2025-08-02|||8|Visual Merchandising|Gerencia Comercial
03434601|Andrés Paredes Aguilar|Plaza Lima Norte|Hogar|Cajero(A)|Cajas|2024-07-13|||8|Cajas|Gerencia Operaciones
49070845|Diego Isabel Rojas Chávez|Plaza Lima Norte|Hogar|Asesor De Ventas|Ventas Hogar|2025-08-16|||8|Ventas Hogar|Gerencia Comercial
67449752|Sebastián Isabel Cárdenas Espinoza|Plaza Lima Norte|Moda|Asesor De Ventas|Ventas Moda|2025-06-27|||8|Ventas Moda|Gerencia Comercial
30381491|Lucía Nicole Vargas Rodríguez|Plaza Lima Norte|Utiles Escolares|Asistente Servicio Cliente|Servicio al Cliente|2024-05-24|||8|Servicio al Cliente|Gerencia Experiencia Cliente
90405496|Raúl Elena Quispe Espinoza|Plaza Lima Norte|Moda|Cajero(A)|Cajas|2025-01-12|||8|Cajas|Gerencia Operaciones
83254172|Melissa Fernanda Cárdenas Castillo|Plaza Lima Norte|Hogar|Asesor De Ventas|Ventas Hogar|2024-01-26|||8|Ventas Hogar|Gerencia Comercial
87239443|Andrés Alejandro Flores Soto|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2024-11-05|||8|Utiles Escolares|Gerencia Comercial
49896322|Diana Gabriela Medina Chávez|Plaza Lima Norte|Hogar|Visual Merchandising|Visual Merchandising|2025-04-09|||8|Visual Merchandising|Gerencia Comercial
54876386|Piero Alejandro López Vargas|Plaza Lima Norte|Tecnologia|Asesor De Ventas|Ventas Tecnología|2025-09-22|||8|Ventas Tecnología|Gerencia Comercial
49402863|Valeria Alejandro Quispe Vega|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-12-03|||8|Utiles Escolares|Gerencia Comercial
86228115|Carlos Alejandro Campos Rojas|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2024-08-05|||8|Utiles Escolares|Gerencia Comercial
04484510|Fernando Eduardo Rojas Cruz|Plaza Lima Norte|Utiles Escolares|Vendedor De Piso|Utiles Escolares|2026-02-22|||8|Utiles Escolares|Gerencia Comercial
02606491|Adrián Antonio Ponce Mejía|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2024-05-13|||8|Utiles Escolares|Gerencia Comercial
02218101|Jorge Jesús Chávez Ramírez|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2024-11-27|||8|Utiles Escolares|Gerencia Comercial
00780504|Rocío Eduardo Castillo Flores|Plaza Lima Norte|Moda|Asesor De Ventas|Ventas Moda|2025-06-09|||8|Ventas Moda|Gerencia Comercial
00280968|Carla Gabriela Ramírez Ponce|Plaza Lima Norte|Tecnologia|Vendedor De Piso|Ventas Tecnología|2025-10-20|||8|Ventas Tecnología|Gerencia Comercial
00009029|Piero Elena Valdivia Medina|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-09-14|||8|Utiles Escolares|Gerencia Comercial
60996652|Alejandra Antonio Campos López|Plaza Lima Norte|Hogar|Asesor De Ventas|Ventas Hogar|2024-10-28|||8|Ventas Hogar|Gerencia Comercial
57823010|Alonso Gabriela Rojas Espinoza|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2024-08-08|||8|Utiles Escolares|Gerencia Comercial
09369266|Renzo Cárdenas Gómez|Plaza Lima Norte|Moda|Asesor De Ventas|Ventas Moda|2024-11-16|||8|Ventas Moda|Gerencia Comercial
99259520|Andrés Nicole Flores Medina|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2026-02-01|||8|Utiles Escolares|Gerencia Comercial
56865623|Jorge Isabel Castillo Soto|Plaza Lima Norte|Utiles Escolares|Asistente Servicio Cliente|Servicio al Cliente|2025-11-12|||8|Servicio al Cliente|Gerencia Experiencia Cliente
04818365|Kevin Fernanda Mejía Herrera|Plaza Lima Norte|Utiles Escolares|Vendedor De Piso|Utiles Escolares|2025-11-03|||8|Utiles Escolares|Gerencia Comercial
83546356|Melissa Alejandro Castillo Cárdenas|Plaza Lima Norte|Utiles Escolares|Vendedor De Piso|Utiles Escolares|2025-07-28|||8|Utiles Escolares|Gerencia Comercial
41571222|Valeria Alejandro Morales Mejía|Plaza Lima Norte|Hogar|Asesor De Ventas|Ventas Hogar|2025-12-20|||8|Ventas Hogar|Gerencia Comercial
85082908|Diego Nicole Torres Quispe|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2026-01-28|||8|Utiles Escolares|Gerencia Comercial
43637934|Tatiana Elena Rodríguez Aguilar|Plaza Lima Norte|Moda|Asesor De Ventas|Ventas Moda|2026-01-08|||8|Ventas Moda|Gerencia Comercial
36621025|Alejandra Patricia Castillo Carranza|Plaza Lima Norte|Utiles Escolares|Vendedor De Piso|Utiles Escolares|2024-03-24|||8|Utiles Escolares|Gerencia Comercial
04983373|Vanessa Patricia Navarro Ponce|Plaza Lima Norte|Moda|Vendedor De Piso|Ventas Moda|2025-03-16|||8|Ventas Moda|Gerencia Comercial
27537207|Fernando Jesús Cruz Vega|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2024-01-08|||8|Utiles Escolares|Gerencia Comercial
03681357|Diana Eduardo Navarro Herrera|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-03-16|||8|Utiles Escolares|Gerencia Comercial
61807170|Fiorella Elena Ramírez Medina|Plaza Lima Norte|Moda|Cajero(A)|Cajas|2024-01-20|||8|Cajas|Gerencia Operaciones
02899319|Sebastián Elena Carranza Espinoza|Plaza Lima Norte|Moda|Asesor De Ventas|Ventas Moda|2025-02-18|||8|Ventas Moda|Gerencia Comercial
58575513|Karen Antonio Quispe Mejía|Plaza Lima Norte|Tecnologia|Asesor De Ventas|Ventas Tecnología|2024-09-06|||8|Ventas Tecnología|Gerencia Comercial
68615906|Karen Nicole Torres Aguilar|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2024-03-19|||8|Utiles Escolares|Gerencia Comercial
09755410|Adrián Elena Mendoza Cruz|Plaza Lima Norte|Tecnologia|Asesor De Ventas|Ventas Tecnología|2024-04-15|||8|Ventas Tecnología|Gerencia Comercial
75763295|Paola Cárdenas Aguilar|Plaza Lima Norte|Tecnologia|Asesor De Ventas|Ventas Tecnología|2026-02-11|||8|Ventas Tecnología|Gerencia Comercial
20361159|Carla Patricia Valdivia Soto|Plaza Lima Norte|Hogar|Vendedor De Piso|Ventas Hogar|2024-11-19|||8|Ventas Hogar|Gerencia Comercial
00754852|Camila Isabel Rodríguez Valdivia|Plaza Lima Norte|Moda|Cajero(A)|Cajas|2025-04-17|||8|Cajas|Gerencia Operaciones
74499083|José Patricia Cárdenas Campos|Plaza Lima Norte|Utiles Escolares|Cajero(A)|Cajas|2025-08-17|||8|Cajas|Gerencia Operaciones
20348230|Paola Antonio Campos Aguilar|Plaza Lima Norte|Hogar|Asesor De Ventas|Ventas Hogar|2025-05-28|||8|Ventas Hogar|Gerencia Comercial
58854920|Karen Nicole Castillo Morales|Plaza Lima Norte|Moda|Cajero(A)|Cajas|2025-12-25|||8|Cajas|Gerencia Operaciones
00346882|Ximena Antonio Rojas Paredes|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-11-26|||8|Utiles Escolares|Gerencia Comercial
20282766|Vanessa Mendoza Cárdenas|Plaza Lima Norte|Hogar|Asesor De Ventas|Ventas Hogar|2025-09-09|||8|Ventas Hogar|Gerencia Comercial
95238090|Marco Nicole Quispe Valdivia|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-09-01|||8|Utiles Escolares|Gerencia Comercial
56928640|Carlos Fernanda Soto Morales|Plaza Lima Norte|Moda|Cajero(A)|Cajas|2025-11-17|||8|Cajas|Gerencia Operaciones
00456922|Kevin Nicole Cruz Herrera|Plaza Lima Norte|Hogar|Asistente Servicio Cliente|Servicio al Cliente|2024-06-07|||8|Servicio al Cliente|Gerencia Experiencia Cliente
00803455|Milagros Jesús Chávez Carranza|Plaza Lima Norte|Hogar|Cajero(A)|Cajas|2025-01-20|||8|Cajas|Gerencia Operaciones
02052730|Paola Eduardo Herrera Salazar|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-03-30|||8|Utiles Escolares|Gerencia Comercial
59235982|Álvaro Gabriela Navarro Navarro|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-08-07|||8|Utiles Escolares|Gerencia Comercial
07103454|Camila Nicole Cárdenas Paredes|Plaza Lima Norte|Moda|Asesor De Ventas|Ventas Moda|2024-09-13|||8|Ventas Moda|Gerencia Comercial
01616757|Rocío Jesús Espinoza Ramírez|Plaza Lima Norte|Tecnologia|Asesor De Ventas|Ventas Tecnología|2026-02-20|||8|Ventas Tecnología|Gerencia Comercial
07248018|Camila Eduardo Quispe Rodríguez|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-02-28|||8|Utiles Escolares|Gerencia Comercial
45101909|Andrés Alejandro Soto Cárdenas|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-10-27|||8|Utiles Escolares|Gerencia Comercial
04449528|Renzo Nicole Chávez Castillo|Plaza Lima Norte|Moda|Asistente De Caja|Cajas|2024-01-20|||8|Cajas|Gerencia Operaciones
06508822|Milagros Patricia Rodríguez Paredes|Plaza Lima Norte|Moda|Asesor De Ventas|Ventas Moda|2024-05-04|||8|Ventas Moda|Gerencia Comercial
07281563|Renzo Isabel Ramírez García|Plaza Lima Norte|Moda|Cajero(A)|Cajas|2025-06-11|||8|Cajas|Gerencia Operaciones
00786286|Camila Antonio Navarro Herrera|Plaza Lima Norte|Hogar|Vendedor De Piso|Ventas Hogar|2025-11-11|||8|Ventas Hogar|Gerencia Comercial
05943091|Camila Isabel Chávez García|Plaza Lima Norte|Moda|Vendedor De Piso|Ventas Moda|2025-04-26|||8|Ventas Moda|Gerencia Comercial
00423222|Vanessa Fernanda Mendoza Flores|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-11-03|||8|Utiles Escolares|Gerencia Comercial
93433565|Adrián Jesús Rodríguez López|Plaza Lima Norte|Utiles Escolares|Asesor De Ventas|Utiles Escolares|2025-04-20|||8|Utiles Escolares|Gerencia Comercial
26872387|Fiorella Isabel Navarro Quispe|Plaza Lima Norte|Tecnologia|Asesor De Ventas|Ventas Tecnología|2024-02-14|||8|Ventas Tecnología|Gerencia Comercial
